Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers
Data Science with R Certification Course,https://www.simplilearn.com/big-data-and-analytics/data-scientist-certification-sas-r-excel-training?tag=,"Simplilearnâ€™s Data Science with R certification course makes you an expert in data analytics using the R programming language. This data science with R course enables you to take your Data Science skills into a variety of companies, helping them analyze data and make more informed business decisions. With dedicated mentoring sessions, this R course incorporates cutting-edge curriculum to help you develop job-ready skills. Enroll in our R training and build expertise in data science right away.",Simplilearn,,,,Course,53626,Big Data Analytics,,
ASM Certification Training Course,https://www.simplilearn.com/asm-certification-training-course?tag=,The ASM certification is your gateway to learning the most popular Agile project management methodology. This ASM certification online positions you to become a champion of Agile adoption in your organization and maximize results.,Simplilearn,,,,Course,49918,Agile and Scrum,,
Data Science with Python Course,https://www.simplilearn.com/big-data-and-analytics/python-for-data-science-training?tag=,"This Data Science with Python course gives you a complete overview of Pythonâ€™s data analytics tools and techniques. Learning python is a crucial skill for many data science roles, and you can develop it with this Python data science course. With a blended learning approach, you can learn Python for data science along with concepts like data wrangling, mathematical computing, and more. Unlock your career as a data scientist with Simplilearnâ€™s Data Science with Python training.",Simplilearn,,,,Course,48619,Big Data Analytics,,
Green Belt Certification Training Course,https://www.simplilearn.com/quality-management/lean-six-sigma-green-belt-training?tag=,Boost your career in Leax Six Sigma by earning your Lean Six Sigma Green Belt certification! Learn the DMAIC methodology with real-world case studies and the skills you need to help your organization grow with our Lean Six Sigma Green Belt certification online program that is aligned with the IASSC exam.,Simplilearn,,,,Course,44528,Quality Management,,
Big Data Hadoop Certification Training Course,https://www.simplilearn.com/big-data-and-analytics/big-data-and-hadoop-training?tag=,"Simplilearnâ€™s Big Data Hadoop course lets you master the concepts of the Hadoop framework, Big data tools, and methodologies. Achieving a Big Data Hadoop certification prepares you for success as a Big Data Developer. This Big Data and Hadoop training help you understand how the various components of the Hadoop ecosystem fit into the Big Data processing lifecycle. Take this Big Data and Hadoop online training to explore Spark applications, parallel processing, and functional programming.",Simplilearn,,,,Course,35642,Big Data,,
AWS Developer Associate Certification Training,https://www.simplilearn.com/cloud-computing/aws-developer-certification-training?tag=,Enhance your proficiency with the Amazon Web Services (AWS) cloud platform to develop and deploy robust cloud applications with an AWS Developer Associate Certification. This course helps you implement cloud security best practices and understand what it takes to become an AWS Developer Associate.,Simplilearn,,,,Course,35351,Cloud Computing,,
Certified ScrumMasterÂ® (CSM) Certification Training Course,https://www.simplilearn.com/agile-and-scrum/csm-certification-training?tag=,"Move up the career ladder by earning the prestigious Certified ScrumMasterÂ® certification. Prepare for the Scrum Master certification through this 2-day CSM training course by Simplilearn. It is an exhaustive, instructor-led Scrum master certification course that introduces you to all major concepts of the Scrum framework required for Agile Project Management.",Simplilearn,,,,Course,34647,Agile and Scrum,,
Deep Learning Course (with Keras & TensorFlow) Certification Training,https://www.simplilearn.com/deep-learning-course-with-tensorflow-training?tag=,This Deep Learning course with TensorFlow certification training is developed by industry leaders and aligned with the latest best practices. Youâ€™ll master deep learning concepts and models using Keras and TensorFlow frameworks through this TensorFlow course. Learn to implement deep learning algorithms with our TensorFlow training and prepare for a career as a Deep Learning Engineer. Achieve our deep learning certification and gain a competitive edge over your peers in your next interview.,Simplilearn,,,,Course,34113,AI & Machine Learning,,
Power BI Certification Training Course,https://www.simplilearn.com/power-bi-certification-training-course?tag=,Refer Friends & Earn  $100 Gift Voucher,Simplilearn,,,,Course,29883,Big Data Analytics,,
CCBAÂ® Certification Training,https://www.simplilearn.com/project-management/ccba-certification-training?tag=,"The CCBA Certification training covers the basic skills needed by business analysts. CCBA is a formal recognition of a business analysis practitionerâ€™s expertise, based on the standards set by the International Institute of Business Analysis (IIBAÂ®). This CCBA course is aligned with the BABOKâ“‡ Guide v3 and mentored by industry experts who have rich experience and extensive knowledge of it. Take this CCBA training and gain the capability to handle more complex projects of your organization.",Simplilearn,,,,Course,29214,Business and Leadership,,
CBAPÂ® Certification Training Course,https://www.simplilearn.com/project-management/cbap-preparatory-course-training?tag=,"This CBAP training is designed to help professionals gain new skills and expertise in advanced documentation, effective planning, and the creation of business solutions. This CBAP exam preparation course aligns with the high standards set by IIBAÂ® and will ensure continued success in the field of business analysis. Professionals with CBAP certification will be able to stay relevant to rapid changes in the IT industry and competencies in all aspects of business analysis.",Simplilearn,,,,Course,27599,Business and Leadership,,
AWS Solutions Architect Certification Training Course,https://www.simplilearn.com/cloud-computing/aws-solution-architect-associate-training?tag=,"AWS certification training course is essential for every aspiring AWS-certified solutions architect. You will master AWS architectural principles and services such as IAM, VPC, EC2, EBS and elevate your career to the cloud, and beyond with this AWS course.",Simplilearn,,,,Course,26640,Cloud Computing,,
PRINCE2Â® Foundation and Practitioner Certification Training,https://www.simplilearn.com/project-management/prince2-foundation-and-practitioner-certification-training?tag=,"Build your career in Project Management with a PRINCE2Â® certification. Globally known for its practice-driven approach to Project Management, this PRINCE2Â® Foundation and Practitioner course is ideal for project managers wishing to expand their knowledge and increase their earning potential.",Simplilearn,,Ranked #1 Best Online Bootcamp by Career Karma, Career Karma,Course,25381,Project Management,,
PMI-ACPÂ® Certification Training Course,https://www.simplilearn.com/agile-and-scrum/pmi-acp-certification-training?tag=,The PMI-ACPÂ® (Agile Certified Practitioner) training empowers you to become a skilled agile professional with knowledge of a broad range of agile methodologies. ACP is PMIâ€™s fastest-growing certification and recently the PMI-ACP exam has been updated with the addition of the Agile Practice Guide.,Simplilearn,,,,Course,25246,Agile and Scrum,,
AWS SysOps Associate Certification Training,https://www.simplilearn.com/cloud-computing/aws-sysops-certification-training?tag=,"Get hands-on exposure to the highly scalable Amazon Web Services (AWS) cloud platform with the AWS SysOps Associate certification training program. This course will help you attain valuable technical expertise in deploying, managing, and operating fault-tolerant systems on AWS.",Simplilearn,,,,Course,24118,Cloud Computing,,
ITILÂ® 4 Foundation Certification Training Course,https://www.simplilearn.com/it-service-management/itil-foundation-training?tag=,"This ITIL certification introduces learners to ITIL V4 Certification, the newest version of the ITIL 4 exam, to understand and improve an IT-enabled enterprise. This ITIL V4 certification training will help you understand the concepts, languages, best practices, and processes utilized in the ITIL 4 lifecycle.",Simplilearn,,,,Course,23453,IT Service and Architecture,,
Lean Management Certification Training Course,https://www.simplilearn.com/quality-management/lean-management-training?tag=,"Learn the concepts and principles of Lean management in this training course, where youâ€™ll learn how to streamline your processes and drive the best value for your business. This Lean Management Certification course is crafted by industry experts and is ideal for quality management professionals.",Simplilearn,,,,Course,20714,Quality Management,,
Advanced Mobile Marketing Certification Training,https://www.simplilearn.com/digital-marketing/mobile-marketing-certification-training?tag=,"Become an expert in using mobile as a means of marketing communications. Master the art of mobile advertising, responsive designs, and integrated social media marketing to become an industry-ready mobile marketer through this mobile marketing course. _x000D_
",Simplilearn,,,,Course,11389,Digital Marketing,,
CI/CD Pipelines with Jenkins Certification Training Course,https://www.simplilearn.com/jenkins-certification-training-course?tag=,"This CI/CD Pipelines with Jenkins Certification Training Course will help you learn server automation, continuous integration, build pipelines and configuration tools, automated testing and code quality improvement, and distributed system in Jenkins through intensive, hands-on practice assignments.",Simplilearn,,,,Course,11362,DevOps,,
Java Certification Training Course,https://www.simplilearn.com/mobile-and-software-development/java-javaee-soa-development-training?tag=,"If youâ€™re looking to master web application development for virtually any computing platform, this Java Certification Training course is for you. This training course will give you a firm foundation in Java, the most commonly used programming language in software development.",Simplilearn,,Ranked #1 Best Coding Bootcamp by Career Karma, Career Karma,Course,10152,Software Development,,
CISSP Certification Training Course,https://www.simplilearn.com/cyber-security/cissp-certification-training?tag=,"Certified Information Systems Security Professional (CISSP) is a globally recognized certification for information technology security professionals. Aligned with the latest (ISC)2 version launched in 2021, this course provides you a deep technical and managerial knowledge and experience to effectively design, engineer, and manage the overall security posture of your organization. ",Simplilearn,,Ranked #1 Best Cybersecurity Bootcamp by Career Karma, Career Karma,Course,10080,Cyber Security,,
PMI-PgMPÂ® Certification Training,https://www.simplilearn.com/project-management/pgmp-certification-training?tag=,"Designed for mid- or senior-level project managers, this course will hone your skills in managing multiple projects and aligning program activities with business goals without compromising on speed, quality and efficiency. Youâ€™ll learn PMIâ€™s five program management performance domains, including program strategy alignment, lifecycle management, stakeholder engagement, benefits management and governance. ",Simplilearn,,Ranked #1 Best Online Bootcamp by Career Karma, Career Karma,Course,9498,Project Management,,
CEH v12 - Certified Ethical Hacking Course,https://www.simplilearn.com/cyber-security/ceh-certification?tag=,"Learn advanced processes in this (CEH) Certified Ethical Hacking course. In this online ethical hacking certification training, you will master advanced network packet analysis and system penetration testing techniques to build your network security skill-set and prevent hackers. You will get access to certified expert professionals who will guide you throughout your learning journey._x000D_
",Simplilearn,,Ranked #1 Best Cybersecurity Bootcamp by Career Karma, Career Karma,Course,8962,Cyber Security,,
Advanced Website Conversion Rate Optimization Certification Training,https://www.simplilearn.com/digital-marketing/conversion-optimization-certification-training?tag=,Become an expert in conversion optimization through this Advanced Website Conversion Rate Optimization Certification Training course. Learn how you can use an effective framework to help convert your websiteâ€™s visitors into sales leads and gain a firm understanding of online marketing. ,Simplilearn,,,,Course,8944,Digital Marketing,,
Advanced Pay Per Click (PPC) Certification Training,https://www.simplilearn.com/digital-marketing/pay-per-click-ppc-certification-training?tag=,"The Advanced PPC Training Course will transform you into an industry-ready paid marketing professional. Featuring a clear learning path designed by industry experts, this PPC certification course will fast-track your Digital Marketing career with hands-on experience in managing paid marketing initiatives.",Simplilearn,,,,Course,8708,Digital Marketing,,
AWS Data Analytics Certification Training Course,https://www.simplilearn.com/aws-big-data-certification-training-course?tag=,"Simplilearnâ€™s AWS Data Analytics certification training prepares you for all aspects of hosting big data and performing distributed processing on the AWS platform. Our AWS data analytics course is aligned with the AWS Certified Data Analytics Specialty exam and helps you pass it in a single try. Developed by industry leaders, this AWS certified data analytics training explores some interesting topics like AWS QuickSight, AWS lambda and Glue, S3 and DynamoDB, Redshift, Hive on EMR, among others",Simplilearn,,,,Course,8682,Big Data,,
TOGAFÂ® 9 Combined Level 1 and Level 2 Training Course,https://www.simplilearn.com/it-service-management/togaf-certification-program-training?tag=,"Simplilearn's TOGAFÂ® version 9.2 certification training helps you master the terminology, structure, and concepts of TOGAFÂ® 9 â€“ the global framework for enterprise IT architecture. This TOGAF certification training course will demonstrate to employers your level of professionalism in architecture principles and processes.",Simplilearn,,,,Course,8316,IT Service and Architecture,,
Python Certification Course,https://www.simplilearn.com/mobile-and-software-development/python-development-training?tag=,"Simplilearnâ€™s comprehensive Python Training Course will teach you the basics of Python, data operations, conditional statements, shell scripting, and Django. This Python certification course will give you hands-on development experience and prepare you for an exciting career as a professional Python programmer.",Simplilearn,,Ranked #1 Best Coding Bootcamp by Career Karma, Career Karma,Course,8099,Cisco Certification,,
CAPMÂ® Certification Training Course,https://www.simplilearn.com/project-management/capm-certification-training?tag=,Aspiring Project Managers will benefit from the globally recognized Certified Associate in project manager (CAPMÂ®) certification. Learn the tools and best practices of project manager and launch your career or move into new organizational roles and responsibilities with our CAPM training.,Simplilearn,,Ranked #1 Best Online Bootcamp by Career Karma, Career Karma,Course,7914,Project Management,,
Microsoft Certified Azure Administrator Associate AZ-104 Training Course,https://www.simplilearn.com/microsoft-azure-administrator-associate-certification-training-course?tag=,"In this course you will learn how to manage Azure subscriptions, secure identities, administer the infrastructure, configure virtual networking, connect Azure and on-premises sites, manage network traffic, implement storage solutions, create and scale virtual machines, implement web apps and containers, back up and share data, and monitor your solution.",Simplilearn,,,,Course,7732,Cloud Computing,,
CISA Certification Training Course,https://www.simplilearn.com/cyber-security/cisa-certification-training?tag=,The Certified Information Systems Auditor or CISA certification course provides you the skills required to govern and control enterprise IT and perform an effective security audit. Aligned with the latest edition of the CISA exam it upskills you to protect information systems.,Simplilearn,,,,Course,7082,Cyber Security,,
Apache Spark and Scala Certification Training,https://www.simplilearn.com/big-data-and-analytics/apache-spark-scala-certification-training?tag=,"Advance your mastery of the Big Data Hadoop Ecosystem with Simplilearnâ€™s Apache Scala and Spark certification online training. This Spark course will help you will attain crucial, in-demand Apache Spark skills and develop a competitive advantage for an exciting career as a Spark Developer.",Simplilearn,,,,Course,6163,Big Data,,
Introduction to Robotic Process Automation Course,https://www.simplilearn.com/introduction-to-robotic-process-automation-course?tag=,"If you want to expand your expertise in advanced intelligent applications, then this Introduction to RPA course will put you on the fast track. RPA is one of the hottest and fastest-growing technologies for improving real-time business operations and processes. This course will give you an overview of RPA concepts, the value-add it brings with relevant business use cases and tools understanding.",Simplilearn,,Ranked #1 Best Coding Bootcamp by Career Karma, Career Karma,Course,5742,Software Development,,
Certified Scrum Product Owner (CSPO) Certification Training,https://www.simplilearn.com/agile-and-scrum/cspo-certification-training?tag=,"The Certified Scrum Product Owner (CSPO) credential from the Scrum AllianceÂ® will validate your expertise in Scrum, an agile framework that enables collaborative cross-functional teams to deliver projects in incremental portions. The course aims to help you get certified on your first attempt.",Simplilearn,,,,Course,5732,Agile and Scrum,,
COBITÂ® 2019 Certification Training,https://www.simplilearn.com/cyber-security/cobit-certification-training?tag=,This COBITÂ® 2019 Foundation training course will give you a deep understanding of the COBIT framework for managing and governing enterprise IT environments. COBIT certification 2019 provides an end-to-end business perspective for IT governance and reflects the role of IT in creating value for enterprises.,Simplilearn,,Ranked #1 Best Cybersecurity Bootcamp by Career Karma, Career Karma,Course,5023,Cyber Security,,
CCSP Certification,https://www.simplilearn.com/ccsp-certification-training?tag=,This Certified Cloud Security Professional (CCSP) training course is the leading certification by (ISC)Â². This course will enable you to negate security threats to your cloud storage by understanding information security risks and implementing strategies to maintain data security.,Simplilearn,,Ranked #1 Best Cybersecurity Bootcamp by Career Karma, Career Karma,Course,4995,Cyber Security,,
Salesforce Certification - Administrator & App Builder Course,https://www.simplilearn.com/salesforce/salesforce-administrator-and-developer-training?tag=,Gain hands-on experience with this Salesforce certification training course while learning how to manage and develop apps for one of the most popular CRM platforms worldwide. Simplilearnâ€™s Salesforce training enables you to pass two Salesforce certification exams and transform your career.,Simplilearn,,,,Course,4451,Software Development,,
Introduction to Business Analysis,https://www.simplilearn.com/introduction-to-business-analysis?tag=,"Simplilearn's Introduction to Business Analysis course provides an overview of the role of a business analyst and covers the latest tools and techniques. This course will help you understand how business analysis adds value to an organization, helping you monitor, forecast, and plan using data._x000D_
",Simplilearn,,,,Course,3617,Business and Leadership,,
Angular Certification Training Course,https://www.simplilearn.com/angular-certification-training-course?tag=,"This Angular Certification Training Course will help you master front-end web development with Angular. Gain in-depth knowledge of concepts like facilitating the development of single-page web applications, dependency injection, typescript, components, and directives with this Angular Course.",Simplilearn,,Ranked #1 Best Coding Bootcamp by Career Karma, Career Karma,Course,3274,Software Development,,
Salesforce Administrator Certification Training Course,https://www.simplilearn.com/salesforce/salesforce-administrator-training?tag=,"You will master the core administration features of Salesforce, the worldâ€™s most popular cloud-based CRM tool, with our Salesforce Administrator Certification training course. The Salesforce admin course empowers you to implement, configure, and manage Sales and Service Clouds.",Simplilearn,,,,Course,3227,Software Development,,
Node.js Certification Training,https://www.simplilearn.com/node-js-certification-training?tag=,This Node JS training enables you to build network applications quickly and efficiently using JavaScript. The Node JS certification training course is designed to help developers understand and build web applications with the help of JavaScript.,Simplilearn,,Ranked #1 Best Coding Bootcamp by Career Karma, Career Karma,Course,3147,Software Development,,
Salesforce Platform App Builder Certification Training,https://www.simplilearn.com/salesforce/salesforce-developer-training?tag=,"Kickstart your career with this the Salesforce Platform App Builder Certification program. Salesforce skills are in high demand, and you can learn the core concepts of online application development using Salesforce App Builder and Force.com Platform Fundamentals.",Simplilearn,,,,Course,2715,Software Development,,
Search Engine Optimization (SEO) Training Course,https://www.simplilearn.com/digital-marketing/search-engine-optimization-seo-certification-training?tag=,"Our Advanced Search Engine Optimization course will transform you into a full-stack SEO professional driving sustained growth in your websiteâ€™s most critical marketing channel. You will master the many facets of SEO like keyword research, technical SEO, link building, analytics, and much more with this SEO training course.",Simplilearn,,,,Course,2651,Digital Marketing,,
Advanced Social Media Certification Training Course,https://www.simplilearn.com/digital-marketing/social-media-certification-training?tag=,"This Advanced Social Media certification training will transform you into an industry-ready social media marketer. Combining the disciplines of advanced social media, advanced content marketing, and advanced web analytics this social media course will help you elevate your brand and execute social campaigns.",Simplilearn,,,,Course,2430,Digital Marketing,,
CISM Certification Training,https://www.simplilearn.com/cyber-security/cism-certification-training?tag=,"CISM (Certified Information Security Manager) is a key certification for information security professionals who manage, design, oversee, and assess enterprise information security. This CISM certification course, closely aligned with ISACA's best practices, helps you learn about IT security systems.",Simplilearn,,,,Course,2375,Cyber Security,,
PRINCE2 Agile Certification Training,https://www.simplilearn.com/prince2-agile-certification-training-course?tag=,"The PRINCE2Â® Agile Foundation & Practitioner certification course combines agile concepts with PRINCE2. The skills acquired in this course let you deliver projects that meet rapidly shifting consumer needs. This course also prepares you to take and pass, the PRINCE2Â® Agile Foundation and Practitioner exam.",Simplilearn,,Ranked #1 Best Online Bootcamp by Career Karma, Career Karma,Course,2222,Project Management,,
Leading SAFeÂ® 6 Training with SAFe Agilist Certification,https://www.simplilearn.com/agile-and-scrum/safe-agilist-certification-training?tag=,"This industry-leading SAFeÂ® certification and training is recognized across the globe. Itâ€™s the most popular approach for large-scale Agile projects providing a valid, reliable, and consistent method of evaluating SAFeÂ® skills, knowledge, and mindset.",Simplilearn,,,,Course,2170,Agile and Scrum,,
CompTIA Security+ (Plus) Certification - SY0-601 Exam Training,https://www.simplilearn.com/comptia-security-plus-certification-training?tag=,"CompTIA Security+ is a globally trusted certification that validates foundational, vendor-neutral IT security knowledge and skills. As a benchmark for best practices in IT security, this certification training covers the essential principles of network security and risk management.",Simplilearn,,Ranked #1 Best Cybersecurity Bootcamp by Career Karma, Career Karma,Course,2146,Cyber Security,,
Professional Scrum Master (PSM) Certification Training,https://www.simplilearn.com/professional-scrum-master-psm-certification-training-course?tag=,This Professional Scrum Masterâ„¢ (PSM) Certification Training covers the principles and process theory underpinning the Scrum framework and ensures the participants learn what is at the core of the scrum and agile movement. This two-day training will prepare you for new career opportunities.,Simplilearn,,,,Course,1903,Agile and Scrum,,
Administering Windows Server 2012 - R2 Certification Training,https://www.simplilearn.com/os-and-databases/administering-windows-server-2012-r2-certification-training?tag=,,Simplilearn,,,,Course,1841,OS and Databases,,
PMPÂ® Exam Practice Test,https://www.simplilearn.com/pmp-exam-simulator-online-practice-test?tag=,Simplilearnâ€™s PMPÂ® exam practice test course is designed to help participants who are preparing for the PMPÂ® certification exam. Complete hands-on practice through our PMPÂ® practice exam simulator will help you prepare for your final PMPÂ® exam. ,Simplilearn,,Ranked #1 Best Online Bootcamp by Career Karma, Career Karma,Course,1561,Project Management,,
Professional Scrum Product Owner (PSPO) Certification Training,https://www.simplilearn.com/professional-scrum-product-owner-pspo-certification-training-course?tag=,Become a product owner who motivates your team and ensures project success with this PSPO certification course. Our training will open new career opportunities for you in multiple industry sectors. The Professional Scrum Product Owner course offers the foundational knowledge needed to work with Scrum.,Simplilearn,,,,Course,1219,Agile and Scrum,,
Introduction to IoT Training Course,https://www.simplilearn.com/iot-certification-training-course?tag=,"If youâ€™re new to the Internet of Things (IoT) and want to leverage it across business functions, then this introductory course is for you. Youâ€™ll get a glimpse into the ever-growing field of IoT, a technology that allows the intelligent exchange of data among a network of internet-connected objects.",Simplilearn,,Ranked #1 Best Coding Bootcamp by Career Karma, Career Karma,Course,1188,Software Development,,
"ITILÂ® 4 Strategist: Direct, Plan, and Improve",https://www.simplilearn.com/itil-strategist-certification-training-course?tag=,"Learn the practical skills needed to create a â€˜learning and improvingâ€™ IT organization with a reliable and effective strategic direction. The ITILÂ® 4 Strategist (Direct, Plan, and Improve) training will help you understand the impact of Agile and Lean work processes and how they can be leveraged to an organizationâ€™s advantage.",Simplilearn,,,,Course,1188,IT Service and Architecture,,
.NET Programming,https://www.simplilearn.com/dot-net-programming-certification-training-course?tag=,"Master the fundamentals of .NET programming and learn how to create .NET projects with this .NET Programming Certification Course. Youâ€™ll get introduced to the .NET space and coding with C#, including Visual Studio and WinForms, preparing you for a successful career.",Simplilearn,,Ranked #1 Best Coding Bootcamp by Career Karma, Career Karma,Course,1159,Software Development,,
ITILÂ® 4 Specialist: Drive Stakeholder Value Course,https://www.simplilearn.com/itil-specialist-drive-stakeholder-value-certification-course?tag=,"This ITILÂ® 4 Specialist: Drive Stakeholder Value training covers the engagement and interactions between service providers and customers, users, suppliers, and partners, including key CX, UX, and journey mapping concepts. Learn the skills needed to create a â€˜learning and improvingâ€™ IT organization. ",Simplilearn,,,,Course,941,IT Service and Architecture,,
SAFe Product Owner/Product Manager (POPM) Certification Training,https://www.simplilearn.com/safe-product-owner-product-manager-popm-certification-training?tag=,"Understand the role of a ScrumMasterÂ® in a SAFe enterprise in this two-day classroom training and get prepared for the SAFeÂ® Scrum Master exam for your certification. This course will prepare you to successfully plan and execute the Program Increment (PI), a crucial alignment in SAFe organizations. ",Simplilearn,,,,Course,869,Agile and Scrum,,
"ITIL 4 Specialist: Create, Deliver and Support",https://www.simplilearn.com/itil-specialist-certification-training?tag=,"Learn how to create, deliver, and support IT-enabled products and services with the ITILÂ® 4 CDS Specialist certification. This ITIL 4 specialist training will help you understand service performance, service quality, and improvement, including relevant methods and tools.",Simplilearn,,,,Course,860,IT Service and Architecture,,
ITILÂ® 4 Specialist: High Velocity IT Course,https://www.simplilearn.com/itil-specialist-high-velocity-it-course?tag=,This ITILÂ® 4 Specialist: High Velocity IT (HVIT) course will help you understand how the digital enterprises and operating models focus on rapid delivery of their products and services while performing in high velocity environments to gain the maximum value.,Simplilearn,,,,Course,792,IT Service and Architecture,,
SAFeÂ® 6 Scrum Master (SSM) Certification Training,https://www.simplilearn.com/safe-scrum-master-ssm-certification-training?tag=,"Understand the role of a Scrum Master in a SAFe enterprise in this two-day classroom training and prepare yourself to pass the SAFe Scrum Master exam. By the end of this course, you will be well versed in Scaled Agile Frameworks and how to accurately execute them within an enterprise.",Simplilearn,,,,Course,682,Agile and Scrum,,
Professional Scrum Masterâ„¢ (PSM) II Certification Training Course,https://www.simplilearn.com/professional-scrum-master-2-psm-ii-certification?tag=,"The Professional Scrum Masterâ„¢ II (PSM II) course will improve your ability to apply the scrum framework to solving advanced and complex problems in the real world. This two-day training session will help you develop new skills, clear the intensive PSM II certification, and get ahead in your career.",Simplilearn,,,,Course,672,Agile and Scrum,,
UMN,https://www.simplilearn.com/umn-bc-office?tag=,Experts will respond to any questions or concerns you may have regarding the course material in this module.,Simplilearn,,,,Course,559,Blockchain,,
Kanban Management Professional-1 (KMP-1) Kanban System Design Certification Course,https://www.simplilearn.com/kanban-system-design-kmp1-certification-training?tag=,"Learn and become a Kanban Management Professional (KMP)-1 Kanban System Design. Simplilearnâ€™s online Kanban System Design course provides in-depth training in Kanban practices and the principles that underpin the Kanban methodology, including a complete Kanban simulation.",Simplilearn,,,,Course,539,Agile and Scrum,,
Selenium Certification Training,https://www.simplilearn.com/selenium-certification-training?tag=,"This Selenium Certification Training enables you to master the complete Selenium suite. The Selenium Training is designed to train developers and manual testers to learn how to automate web applications with a robust framework, and integrate it within the DevOps processes of an organization. This Selenium Certification Training will also help you master important concepts such as TestNG, Selenium IDE, Selenium Grid, Selenium WebDriver, etc.",Simplilearn,,Ranked #1 Best Coding Bootcamp by Career Karma, Career Karma,Course,524,Software Development,,
Digital Strategy for Brand Marketing Course,https://www.simplilearn.com/digital-strategy-for-brand-marketing-course?tag=,"The Digital Strategy for Brand Marketing course provides a comprehensive overview of brand management and marketing principles & concepts. Learn how to help your business establish a digital presence through the effective use of the content, images, and user engagement that appeals to your target market.",Simplilearn,,,,Course,472,Digital Marketing,,
Full Stack Development for Beginners,https://www.simplilearn.com/full-stack-development-for-beginners?tag=,,Simplilearn,,,,Course,471,Software Development,,
CSPO,https://www.simplilearn.com/cspo-course?tag=,"The Certified Scrum Product Owner (CSPO) credential from the Scrum AllianceÂ® will validate your expertise in Scrum, an agile framework that enables collaborative cross-functional teams to deliver projects in incremental portions. The course aims to help you get certified on your first attempt.",Simplilearn,,,,Course,424,Agile and Scrum,,
Advanced Certified ScrumMasterÂ® (A-CSM) Certification Training,https://www.simplilearn.com/advanced-certified-scrum-master-a-csm-certification-training?tag=,"This Advanced Certified ScrumMaster (A-CSMâ„ ) training course will enhance your expertise in Scrum values, practices, and applications. Upon completion, you will be prepared to achieve your Advanced Certified ScrumMaster certification from Scrum AllianceÂ®.",Simplilearn,,,,Course,421,Agile and Scrum,,
Certified Scrum Developer(CSD) Certification Training,https://www.simplilearn.com/agile-and-scrum/certified-scrum-developer-training?tag=,The Certified Scrum Developer (CSD)Â® Certification is a classroom training course designated by Scrum Alliance. This course trains professionals to develop their ability to serve as an effective developer for a scrum team.,Simplilearn,,,,Course,373,Agile and Scrum,,
Certified Scrum Master,https://www.simplilearn.com/certified-scrum-master-1?tag=,This Certified ScrumMasterÂ® (CSM) certification training course provides an overview of the Scrum framework for Agile Project Management preparing you to become a Certified ScrumMasterÂ®. This is a two-day training that opens a variety of career opportunities in multiple industry sectors.,Simplilearn,,,,Course,369,Agile and Scrum,,
Salesforce Basics Course for Beginners,https://www.simplilearn.com/salesforce-course?tag=,,Simplilearn,,,,Course,348,Big Data,,
ICP-ACC (ICAgile Certified Agile Coaching) Certification Training Course,https://www.simplilearn.com/certified-agile-coaching-icp-acc-certification-training?tag=,This ICP-ACC Certification Training Course aims to help you become an ICAgile certified agile coach able to enhance team practices in software development. This course will help you improve your focus on the business goals and objectives of an organization to create a healthy environment.,Simplilearn,,,,Course,301,Agile and Scrum,,
/irisprodflip456,https://www.simplilearn.com/irisprodflip456?tag=,Iris Production check 456,Simplilearn,,,,Course,293,Big Data Analytics,,
Introduction to Industry 4.0,https://www.simplilearn.com/introduction-industry-4-bcg?tag=,Introduction to Industry 4.0 ,Simplilearn,,,,Course,240,Business and Leadership,,
